PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
80,Aaron Gordon,DEN,28,65,45,20,31.5,13.8,5.5,9.9,55.3,0.5,1.8,28,2.3,3.6,65.2,2.4,4.1,6.5,3.4,1.4,0.8,0.6,1.9,29.5,12,0,5.5
81,CJ McCollum,NOP,32,55,37,18,31.5,18.6,6.8,14.8,46.1,3.3,8,41.8,1.6,2,79.3,0.5,3.6,4.1,4.4,1.6,1,0.7,1.9,33.5,1,0,3.5
82,Jabari Smith Jr.,HOU,20,65,34,31,31.5,13.3,4.8,10.7,45.2,1.7,4.7,35.7,1.9,2.3,82.1,2,6.5,8.5,1.5,1.2,0.7,0.7,2.7,28.9,16,0,-0.4
83,Jalen Green,HOU,22,71,36,35,31.4,19.6,6.8,16.1,42.4,2.4,7.2,33.4,3.5,4.4,80.6,0.5,4.5,5,3.4,2.2,0.8,0.4,1.3,31.8,6,1,1.2
84,Isaiah Stewart,DET,22,46,9,37,30.9,10.9,4,8.3,48.7,1.5,3.8,38.3,1.4,1.8,75.3,1.6,5,6.6,1.6,1.4,0.4,0.8,2.2,23.4,5,0,-2.9
85,Zion Williamson,NOP,23,60,37,23,30.9,22.6,8.9,15.2,58.6,0.1,0.2,35.7,4.7,6.7,70,1.8,4.1,5.9,5,2.7,0.9,0.6,2.3,39,10,0,2.5
86,Dennis Schroder,BKN,30,72,25,47,30.9,13.8,5,11.3,43.8,1.7,4.5,37.2,2.2,2.7,82.2,0.4,2.4,2.8,6,2,0.8,0.2,2,27.3,7,0,-2.1
87,Dillon Brooks,HOU,28,62,32,30,30.8,12.9,4.6,10.6,43.6,1.8,5,36.4,1.8,2.1,84.6,0.7,2.7,3.4,1.7,1.2,0.9,0.1,3.3,21.3,1,0,0.4
88,Evan Mobley,CLE,22,40,25,15,30.7,15.6,6.5,11.2,58.1,0.3,1,33.3,2.4,3.4,70.1,2.4,7.6,10,3.1,1.9,0.9,1.5,2.8,37.4,20,0,0.8
89,Brook Lopez,MIL,35,68,45,23,30.7,12.5,4.6,9.6,48.1,1.9,5.1,36.3,1.3,1.6,82.7,1.5,3.8,5.3,1.7,0.9,0.6,2.5,2.4,29.6,4,0,4.6
90,Jordan Clarkson,UTA,31,55,22,33,30.6,17.1,6.1,14.8,41.3,1.7,5.6,29.4,3.2,3.7,88.1,0.9,2.5,3.4,5,2.7,0.6,0.1,1.5,28.4,6,1,-3.5
91,Cam Thomas,BKN,22,56,18,38,30.6,21.5,7.7,17.5,44.2,2,5.7,35.7,4,4.7,84.4,0.4,2.8,3.2,2.8,1.9,0.7,0.2,2.1,30.5,0,0,-3.1
92,Marcus Smart,MEM,30,20,7,13,30.2,14.5,5.1,11.9,43,2.1,6.7,31.3,2.2,2.8,76.8,0.3,2.4,2.7,4.3,3.1,2.1,0.3,2.7,27.9,0,0,-1
93,Chet Holmgren,OKC,21,70,49,21,30.1,17,6.4,11.9,53.6,1.7,4.3,38.4,2.6,3.2,79.7,1.6,6.3,7.9,2.6,1.5,0.7,2.4,2.3,38.1,22,0,5.2
94,P.J. Washington,DAL,25,63,22,41,30.1,12.7,4.8,11,43.5,1.7,5.5,30.3,1.4,2,70.4,1.2,4.2,5.4,1.9,1.3,0.9,0.8,2.4,25.7,2,0,-3.3
95,Bogdan Bogdanovic,ATL,31,68,31,37,29.8,16.5,5.9,13.9,42.5,3.1,8.2,37.6,1.7,1.9,90.6,0.6,2.7,3.4,3,1.3,1.2,0.3,2.3,28.3,0,0,2.2
96,Jeremy Sochan,SAS,20,72,16,56,29.7,11.7,4.6,10.5,43.7,0.9,3.1,30.9,1.5,2,77.5,1.9,4.6,6.5,3.4,1.9,0.8,0.5,2.3,26.7,7,0,-4.8
97,Kelly Oubre Jr.,PHI,28,58,32,26,29.7,14.9,5.5,12.6,44.1,1.4,4.6,30.1,2.4,3.3,73.8,1.4,3.3,4.7,1.4,1.2,1.2,0.6,2.9,26.9,3,0,-1.4
98,Herbert Jones,NOP,25,65,41,24,29.7,11,3.9,7.6,51.5,1.5,3.5,43.1,1.7,2,84.6,1,2.5,3.6,2.5,1.2,1.3,0.9,2.9,24.4,0,0,3.7
99,Jalen Duren,DET,20,54,12,42,29.7,13.8,5.8,9.3,62.5,0,0.1,0,2.2,2.9,77.6,3.3,8.6,11.9,2.5,2.1,0.5,0.8,3.3,33.7,39,0,-5.2
100,Nic Claxton,BKN,24,62,22,40,29.7,12.1,5.2,8.3,63.2,0,0.1,20,1.6,2.7,58.9,2.7,7.1,9.8,2,1.2,0.6,2,2.5,33.8,26,0,-4.4
101,Malik Beasley,MIL,27,68,43,25,29.6,11.4,4.1,9,45.6,2.9,6.7,43,0.3,0.5,68.8,0.6,3.3,3.9,1.4,0.7,0.8,0.1,2,20.1,1,0,5
102,Kristaps Porzingis,BOS,28,50,38,12,29.6,20.3,6.8,13.3,51.4,2,5.3,37.1,4.6,5.4,85.9,1.7,5.2,6.9,1.9,1.6,0.7,1.8,2.8,37.2,9,0,7.8
103,Klay Thompson,GSW,34,67,33,34,29.6,17.3,6.1,14.5,42.3,3.4,8.8,38.2,1.7,1.8,91.7,0.5,2.9,3.3,2.2,1.5,0.6,0.4,1.7,26.3,0,0,-1.1
104,Keldon Johnson,SAS,24,67,16,51,29.5,15.8,5.7,12.6,45.5,1.9,5.3,34.8,2.5,3.1,78.7,1.4,4.1,5.5,2.8,1.4,0.7,0.3,2.1,28.3,9,0,-5.4
105,Jordan Poole,WAS,24,70,14,56,29.3,16.7,6,14.7,40.9,2.2,6.9,32.2,2.5,2.8,86.9,0.4,2.2,2.6,3.9,2.3,1.1,0.3,3.2,27.8,2,0,-6.9
106,Jaden McDaniels,MIN,23,61,41,20,29.3,10.6,4.3,8.8,48.9,1.2,3.5,34.9,0.8,1.1,70.1,0.8,2.3,3.1,1.3,1.2,0.9,0.6,3.2,19.5,0,0,2.6
107,Tyus Jones,WAS,27,66,11,55,29.3,12,4.9,10.1,48.9,1.6,3.9,41.4,0.5,0.6,80,0.3,2.4,2.7,7.3,1,1.1,0.3,0.7,29.3,9,1,-7.5
108,Jaime Jaquez Jr.,MIA,23,64,37,27,29.3,12.3,4.7,9.8,48.6,0.9,2.8,31.5,1.9,2.4,80.4,1.2,2.8,4,2.6,1.5,1.1,0.2,2.3,23.3,1,0,0.2
109,Harrison Barnes,SAC,31,71,42,29,29.3,12.3,4.3,8.8,48.2,1.9,4.7,39.6,1.8,2.3,80.4,0.8,2.1,2.9,1.1,0.7,0.6,0.2,1.3,19.1,0,0,-1.6
110,Mitchell Robinson,NYK,25,21,12,9,29.2,6.2,2.8,4.7,59.2,0,0,0,0.7,1.8,36.8,5.3,5,10.3,0.7,1,1.5,1.3,1.9,27,2,0,1.6
111,Deni Avdija,WAS,23,65,13,52,29.2,14.2,5.3,10.4,50.9,1.2,3,39.2,2.4,3.3,72.6,1.2,5.8,7,3.7,2,0.8,0.4,2.5,29.7,13,0,-5
112,Victor Wembanyama,SAS,20,63,14,49,29,20.7,7.5,16.2,46.6,1.7,5.2,32.1,4,5,79.9,2.2,8.1,10.4,3.5,3.6,1.3,3.4,2.2,49,38,2,-2.2
113,Spencer Dinwiddie,LAL,30,65,30,35,29,10.9,3.5,9,39.3,1.6,5,32.8,2.2,2.8,78.8,0.4,2.3,2.7,5.2,1.2,0.7,0.2,1.8,23.6,4,0,0.7
114,Mike Conley,MIN,36,66,47,19,29,11,3.7,8.3,44.8,2.2,5.2,42.7,1.3,1.5,89.7,0.5,2.4,2.9,6,1.2,1.1,0.2,1.7,26.3,4,0,4.3
115,Immanuel Quickley,TOR,24,62,26,36,28.9,16.4,5.6,13,43.2,2.5,6.2,39.6,2.7,3.3,82.9,0.2,3.4,3.6,4.6,1.4,0.7,0.1,1.6,28.8,6,0,-0.5
116,Eric Gordon,PHX,35,59,35,24,28.8,11.8,4.3,9.4,45.6,2.4,6,39.4,0.8,1,79.7,0.3,1.7,2,2.2,1.2,0.9,0.5,1.3,20.4,0,0,1.7
