PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
174,Gabe Vincent,LAL,27,5,2,3,25.5,5.4,2.4,6.4,37.5,0.4,3.4,11.8,0.2,0.4,50,0.4,0.6,1,3,0.4,1.2,0,2.4,14.3,0,0,-0.4
175,Terance Mann,LAC,27,64,40,24,25.4,8.4,3.2,6.6,48.8,1,2.8,34.3,1,1.2,82.3,1.2,2.1,3.3,1.7,0.6,0.6,0.2,1.9,16.7,1,0,0.8
176,Clint Capela,ATL,29,63,29,34,25.3,11.4,4.8,8.6,56,0,0,0,1.8,2.7,64.7,4.7,5.8,10.6,1.2,0.9,0.5,1.5,2.3,30.8,32,0,-0.6
177,Luke Kennard,MEM,27,36,13,23,25.2,11.1,3.6,8,45.3,2.8,6.1,45.4,1.1,1.2,88.6,0.3,2.5,2.8,3.3,1.3,0.5,0,1.1,19.8,0,0,-4.2
178,Ausar Thompson,DET,21,63,10,53,25.1,8.8,3.7,7.6,48.3,0.3,1.8,18.6,1.1,1.9,59.7,2,4.3,6.4,1.9,1.3,1.1,0.9,2.8,24.1,2,0,-3.7
179,Isaiah Hartenstein,NYK,25,65,41,24,25,7.3,3,4.7,63.2,0,0,33.3,1.4,1.9,72.4,3.3,5.2,8.5,2.3,1.1,1.1,1.2,2.8,26.5,7,0,4.9
180,Royce O'Neale,PHX,30,69,31,38,24.9,7.8,2.8,6.9,39.7,2,5.4,37.2,0.3,0.4,67.7,0.8,4,4.8,2.8,1,0.7,0.6,2.2,20.8,3,0,1
181,Simone Fontecchio,DET,28,66,29,37,24.9,10.5,3.8,8.3,46,2,5.1,40.1,0.8,1,81.8,1,2.8,3.7,1.5,1,0.7,0.3,1.7,19.3,0,0,-0.4
182,Daniel Gafford,DAL,25,64,22,42,24.8,11.2,4.7,6.5,71.6,0,0,0,1.8,2.6,69.9,2.8,5.1,7.9,1.5,1,0.9,2.1,3.1,30.9,14,0,-2.1
183,Toumani Camara,POR,23,69,19,50,24.8,7.4,2.8,6.2,44.3,0.8,2.4,32.7,1.1,1.4,75.8,2,2.9,4.9,1.2,1.2,0.9,0.5,2.5,18.2,2,0,-2.7
184,Nicolas Batum,PHI,35,50,28,22,24.7,5,1.8,4,45,1.1,2.9,38.5,0.3,0.4,71.4,1.2,2.8,4,2,0.7,0.8,0.7,1.9,16.6,0,0,2.5
185,Josh Giddey,OKC,21,69,49,20,24.6,11.6,4.7,10.3,46.1,1,3,33.5,1.1,1.3,83.1,1.4,4.8,6.1,4.5,2,0.7,0.5,1.3,27.3,6,1,4.2
186,Andrew Nembhard,IND,24,59,35,24,24.5,9.2,3.9,7.7,49.9,0.8,2.4,35.2,0.6,0.8,80,0.5,1.5,2,4.2,1.5,0.9,0.1,2.1,19.3,1,0,0.5
187,Kevin Huerter,SAC,25,64,37,27,24.4,10.2,3.9,8.8,44.3,1.9,5.3,36.1,0.6,0.7,76.6,0.6,2.9,3.5,2.6,0.8,0.7,0.4,2.1,20.7,2,0,1.2
188,Bobby Portis,MIL,29,71,46,25,24.3,13.4,5.5,10.9,50.2,1.2,3,39,1.3,1.6,78.4,1.6,5.6,7.2,1.2,1,0.8,0.4,2.3,26.3,12,0,0.2
189,Jonas Valanciunas,NOP,31,71,44,27,24.3,12.5,5,8.9,56.3,0.5,1.5,34,2,2.5,79.7,2.4,6.8,9.2,2.1,1.3,0.4,0.9,2.8,29.4,31,0,2.6
190,Corey Kispert,WAS,25,70,14,56,24.1,12.7,4.5,9.4,48.1,2.2,5.8,37.7,1.4,1.9,73.1,0.4,2.3,2.7,1.8,1.2,0.5,0.2,1.7,19.5,1,0,-5.4
191,Killian Hayes,DET,22,42,7,35,24,6.9,2.8,6.7,41.3,0.5,1.8,29.7,0.8,1.2,66,0.3,2.6,2.8,4.9,1.2,0.9,0.5,1.8,20.4,0,0,-5.8
192,Ben Simmons,BKN,27,15,7,8,23.9,6.1,2.9,4.9,58.1,0,0,0,0.4,1,40,2.1,5.9,7.9,5.7,1.8,0.8,0.6,2.4,26.7,3,0,-2.5
193,Jae Crowder,MIL,33,40,23,17,23.8,6.5,2.4,5.4,44.9,1.2,3.3,36.8,0.5,0.7,69.2,0.6,2.8,3.3,1.4,0.5,0.9,0.2,1.7,15.3,0,0,-1
194,GG Jackson,MEM,19,38,11,27,23.8,13.5,4.6,10.5,43.5,2,5.5,36.4,2.3,3.1,74.6,1.2,2.7,3.8,1,1.2,0.5,0.5,1.3,21.3,0,0,-3.4
195,Dereck Lively II,DAL,20,52,32,20,23.8,8.9,4.1,5.4,75.3,0,0,0,0.8,1.5,50.6,2.5,4.4,6.9,1.1,1,0.7,1.4,2.7,24,8,0,2.1
196,Vit Krejci,ATL,23,11,5,6,23.7,5.9,2.2,4.6,47.1,1.2,2.9,40.6,0.4,0.5,80,0.4,1.4,1.7,2.4,0.8,0.6,0.4,2.2,13.7,0,0,2.2
197,Naz Reid,MIN,24,70,49,21,23.6,13.1,4.9,10.1,48.4,2.1,4.9,42.1,1.3,1.7,75.6,1,4.1,5.1,1.2,1.3,0.7,0.9,2.1,24.4,4,0,3.6
198,Nickeil Alexander-Walker,MIN,25,71,49,22,23.6,7.6,2.7,6.3,43.3,1.5,3.9,38.2,0.6,0.8,80,0.5,1.6,2.1,2.5,0.9,0.8,0.5,1.8,17,0,0,3.5
199,Walker Kessler,UTA,22,60,26,34,23.5,8.3,3.7,5.6,65.8,0.1,0.3,21.1,0.9,1.5,58.4,2.6,5.1,7.7,0.9,1,0.5,2.5,2.1,26.7,7,0,-2.2
200,Scotty Pippen Jr.,MEM,23,11,2,9,23.4,11.6,3.9,7.7,50.6,1.6,3,54.5,2.2,3.2,68.6,1,2.3,3.3,4.7,2.4,1.3,0.5,2.5,25.5,0,0,-1.8
