,PLAYER_ID,PLAYER,BAYESIAN_3P%,LOWER_BOUND,UPPER_BOUND,SEASON_3P%,HISTORICAL_3P%
0,1630173,Precious Achiuwa,0.32075471700277536,0.22322322322322322,0.4184184184184184,0.2765957446808511,0.32075471698113206
8,203937,Kyle Anderson,0.3450608930996284,0.24724724724724725,0.44344344344344344,0.125,0.34506089309878213
11,1628384,OG Anunoby,0.3753180661577715,0.2772772772772773,0.47347347347347346,0.37423312883435583,0.3753180661577608
12,1627853,Ryan Arcidiacono,0.3720472440945058,0.27427427427427425,0.47047047047047047,0.0,0.3720472440944882
15,1641735,Amari Bailey,0.03957680225409487,0.001001001001001001,0.11211211211211211,0.0,0.0
28,1628966,Keita Bates-Diop,0.33686440678225343,0.23923923923923923,0.4344344344344344,0.2608695652173913,0.336864406779661
29,201587,Nicolas Batum,0.3648679678530931,0.26726726726726724,0.4624624624624625,0.2857142857142857,0.3648679678530425
35,201976,Patrick Beverley,0.37001118985455556,0.27227227227227224,0.46846846846846846,0.3142857142857143,0.3700111898545319
36,1630180,Saddiq Bey,0.3609653725079591,0.26326326326326327,0.45945945945945943,0.33689839572192515,0.36096537250786986
50,1628970,Miles Bridges,0.34581673306849126,0.24824824824824826,0.44344344344344344,0.3333333333333333,0.3458167330677291
51,1629052,Oshae Brissett,0.3443298969081526,0.24624624624624625,0.44244244244244246,0.3333333333333333,0.3443298969072165
62,1628418,Thomas Bryant,0.377952755905519,0.2802802802802803,0.4754754754754755,0.0,0.3779527559055118
64,202692,Alec Burks,0.3825803825803862,0.28428428428428426,0.4804804804804805,0.36054421768707484,0.38258038258038257
67,1631288,Jamal Cain,0.3500000000004254,0.25225225225225223,0.44844844844844844,0.32,0.35
74,1631108,Max Christie,0.4193548387096775,0.3213213213213213,0.5175175175175175,0.2903225806451613,0.41935483870967744
85,1641741,Ricky Council IV,0.03957680225409487,0.001001001001001001,0.11211211211211211,0.0,0.0
86,203496,Robert Covington,0.36108011604561335,0.26326326326326327,0.45945945945945943,0.25,0.36108011604552553
101,203915,Spencer Dinwiddie,0.33939193655174166,0.24124124124124124,0.43743743743743746,0.31797235023041476,0.33939193654990085
105,203083,Andre Drummond,0.12366426809085844,0.03003003003003003,0.22122122122122123,0.0,0.12269938650306748
112,1630556,Kessler Edwards,0.3333333333374979,0.23523523523523523,0.4314314314314314,0.3181818181818182,0.3333333333333333
113,1631165,Keon Ellis,0.5,0.4024024024024024,0.5975975975975976,0.35,0.5
122,1630235,Trent Forrest,0.18184404310108296,0.08408408408408408,0.2802802802802803,0.0,0.18181818181818182
123,203095,Evan Fournier,0.38134249471459214,0.2832832832832833,0.4794794794794795,0.16666666666666666,0.38134249471458775
126,1628365,Markelle Fultz,0.27777778152245136,0.18018018018018017,0.37537537537537535,0.0,0.2777777777777778
127,201568,Danilo Gallinari,0.37987577639752085,0.2822822822822823,0.4774774774774775,0.3125,0.3798757763975155
129,1630568,Luka Garza,0.3409090909105879,0.24324324324324323,0.43843843843843844,0.0,0.3409090909090909
137,1630264,Anthony Gill,0.31645569623999825,0.2182182182182182,0.4144144144144144,0.1,0.31645569620253167
150,201145,Jeff Green,0.3342030360568383,0.23623623623623624,0.43243243243243246,0.3170731707317073,0.33420303605313095
161,203914,Gary Harris,0.3677811550152306,0.2702702702702703,0.46546546546546547,0.3333333333333333,0.3677811550151976
162,203925,Joe Harris,0.43717728055077465,0.33933933933933935,0.5355355355355356,0.2916666666666667,0.43717728055077454
163,202699,Tobias Harris,0.3729933899905724,0.2752752752752753,0.47147147147147145,0.3565217391304348,0.37299338999055714
166,1630573,Sam Hauser,0.41952506596306066,0.3213213213213213,0.5175175175175175,0.41624365482233505,0.41952506596306066
168,1629637,Jaxson Hayes,0.28846153957585585,0.19019019019019018,0.3863863863863864,0.0,0.28846153846153844
170,202330,Gordon Hayward,0.3688186813187096,0.27127127127127126,0.46646646646646645,0.36065573770491804,0.36881868131868134
174,1627741,Buddy Hield,0.3964386129334587,0.2982982982982983,0.4944944944944945,0.37786259541984735,0.3964386129334583
175,1629312,Haywood Highsmith,0.3309859154986493,0.23323323323323322,0.4294294294294294,0.3235294117647059,0.33098591549295775
185,1627863,Danuel House Jr.,0.3638863428048247,0.26626626626626626,0.46146146146146144,0.34375,0.3638863428047663
191,204060,Joe Ingles,0.4084955752212389,0.3103103103103103,0.5065065065065065,0.4067796610169492,0.4084955752212389
212,1627745,Damian Jones,0.4146341463414634,0.3163163163163163,0.5125125125125125,0.3333333333333333,0.4146341463414634
217,202709,Cory Joseph,0.3490566037740704,0.25125125125125125,0.44744744744744747,0.20833333333333334,0.3490566037735849
220,1628379,Luke Kennard,0.445414847161572,0.34734734734734735,0.5435435435435435,0.36764705882352944,0.44541484716157204
222,1630296,Braxton Key,0.285714287242781,0.1881881881881882,0.3833833833833834,0.25,0.2857142857142857
227,1627788,Furkan Korkmaz,0.35610200364316685,0.25825825825825827,0.4544544544544544,0.2631578947368421,0.3561020036429873
233,1630639,A.J. Lawson,0.40000000000000013,0.3023023023023023,0.4974974974974975,0.32142857142857145,0.4
235,1630240,Saben Lee,0.30769230780438306,0.2092092092092092,0.40540540540540543,0.0,0.3076923076923077
236,203458,Alex Len,0.3190476190745556,0.22122122122122123,0.4174174174174174,0.0,0.319047619047619
239,1630184,Kira Lewis Jr.,0.32075471700277536,0.22322322322322322,0.4184184184184184,0.10526315789473684,0.32075471698113206
244,1630587,Isaiah Livers,0.37827715355805935,0.2802802802802803,0.47647647647647645,0.25757575757575757,0.3782771535580524
246,1631254,Kenneth Lofton Jr.,0.3529411764708694,0.2552552552552553,0.45045045045045046,0.3,0.35294117647058826
249,201567,Kevin Love,0.36779324055669294,0.2702702702702703,0.46546546546546547,0.35714285714285715,0.36779324055666
253,1630177,Theo Maledon,0.317204301109339,0.21921921921921922,0.41541541541541543,0.16666666666666666,0.3172043010752688
254,1630572,Sandro Mamukelashvili,0.32800000000844126,0.23023023023023023,0.4264264264264264,0.2692307692307692,0.328
257,1626246,Boban Marjanovic,0.28000000292115773,0.18218218218218218,0.3783783783783784,0.0,0.28
265,202083,Wesley Matthews,0.3755716463414737,0.2772772772772773,0.47347347347347346,0.2,0.3755716463414634
266,1630178,Tyrese Maxey,0.41357234314980806,0.3153153153153153,0.5115115115115115,0.37410071942446044,0.41357234314980795
274,201580,JaVale McGee,0.20000642713018224,0.1021021021021021,0.2982982982982983,0.0,0.2
277,1629001,De'Anthony Melton,0.37018837018839335,0.27227227227227224,0.46846846846846846,0.36464088397790057,0.3701883701883702
295,1629875,Xavier Moon,0.3529411764708695,0.2552552552552553,0.45045045045045046,0.0,0.35294117647058826
298,202693,Markieff Morris,0.34501992031957607,0.24724724724724725,0.44344344344344344,0.32142857142857145,0.3450199203187251
305,203488,Mike Muscala,0.37620944792260474,0.2782782782782783,0.4744744744744745,0.2857142857142857,0.3762094479225953
315,1629670,Jordan Nwora,0.39240506329114005,0.29429429429429427,0.4904904904904905,0.34615384615384615,0.3924050632911392
316,1626220,Royce O'Neale,0.3835171966255708,0.2852852852852853,0.48148148148148145,0.3711340206185567,0.3835171966255678
318,1629006,Josh Okogie,0.2912621367272245,0.1931931931931932,0.3893893893893894,0.2542372881355932,0.2912621359223301
327,1627780,Gary Payton II,0.3462897526508905,0.24824824824824826,0.4444444444444444,0.28125,0.3462897526501767
332,1630197,Aleksej Pokusevski,0.3011811026101979,0.2032032032032032,0.3993993993993994,0.125,0.30118110236220474
337,203490,Otto Porter Jr.,0.3973799126637559,0.29929929929929927,0.4954954954954955,0.34782608695652173,0.39737991266375544
340,1630695,Micah Potter,0.4444444444444444,0.34634634634634637,0.5425425425425425,0.0,0.4444444444444444
347,1630243,Trevelin Queen,0.28205128436991206,0.1841841841841842,0.38038038038038036,0.0,0.28205128205128205
349,1631311,Lester Quinones,0.5,0.4024024024024024,0.5975975975975976,0.3333333333333333,0.5
353,1629629,Cam Reddish,0.32751937985395246,0.22922922922922923,0.42542542542542544,0.3076923076923077,0.32751937984496127
356,1631197,Jared Rhoden,0.2500000706750556,0.15215215215215216,0.3483483483483483,0.25,0.25
357,1626196,Josh Richardson,0.3696925329429239,0.27127127127127126,0.4674674674674675,0.3275862068965517,0.369692532942899
359,1629010,Jerome Robinson,0.313580246967439,0.21521521521521522,0.4114114114114114,0.0,0.3135802469135803
370,1629677,Luka Samanic,0.28048780764348613,0.18218218218218218,0.3783783783783784,0.25,0.2804878048780488
375,1629678,Admiral Schofield,0.32242990655949777,0.22422422422422422,0.42042042042042044,0.25,0.32242990654205606
384,1627783,Pascal Siakam,0.327433628327677,0.22922922922922923,0.42542542542542544,0.288,0.3274336283185841
386,1641771,Jalen Slawson,0.03957680225409487,0.001001001001001001,0.11211211211211211,0.0,0.0
390,1628372,Dennis Smith Jr.,0.3047977423988132,0.2072072072072072,0.4024024024024024,0.2727272727272727,0.3047977422389464
406,1628464,Daniel Theis,0.32266666668358274,0.22422422422422422,0.42042042042042044,0.0,0.32266666666666666
410,202691,Klay Thompson,0.4162121497084822,0.3183183183183183,0.5145145145145145,0.37630662020905925,0.41621214970848225
411,1630550,JT Thor,0.30666666679382115,0.2082082082082082,0.4044044044044044,0.3023255813953488,0.30666666666666664
413,1630214,Xavier Tillman,0.2790697706838354,0.18118118118118118,0.37737737737737737,0.2564102564102564,0.27906976744186046
438,1629139,Yuta Watanabe,0.3902439024390254,0.2922922922922923,0.48848848848848847,0.323943661971831,0.3902439024390244
444,201566,Russell Westbrook,0.3056970821256145,0.2072072072072072,0.4034034034034034,0.27848101265822783,0.30569708198239925
458,1630172,Patrick Williams,0.4144144144144145,0.3163163163163163,0.5125125125125125,0.41025641025641024,0.4144144144144144
464,1630164,James Wiseman,0.2564102932856165,0.15815815815815815,0.35435435435435436,0.0,0.2564102564102564
465,1626174,Christian Wood,0.3780369290573443,0.2802802802802803,0.47647647647647645,0.32432432432432434,0.3780369290573372
466,1626153,Delon Wright,0.34814216478245796,0.2502502502502503,0.44644644644644643,0.2857142857142857,0.3481421647819063
469,203469,Cody Zeller,0.2176885362099861,0.12012012012012012,0.3153153153153153,0.0,0.21768707482993196
