,PLAYER,3P%,CI,3PA
0,Chris Livingston,0.9604231977459051,"(0.8878878878878879, 0.998998998998999)",1
1,Drew Eubanks,0.9604231977459051,"(0.8878878878878879, 0.998998998998999)",2
2,Drew Peterson,0.9604231977459051,"(0.8878878878878879, 0.998998998998999)",1
3,Garrett Temple,0.9604231977459051,"(0.8878878878878879, 0.998998998998999)",1
4,Jordan Miller,0.9604231977459051,"(0.8878878878878879, 0.998998998998999)",1
5,Leonard Miller,0.9604231977459051,"(0.8878878878878879, 0.998998998998999)",1
6,Nic Claxton,0.9604231977459051,"(0.8878878878878879, 0.998998998998999)",1
7,Nate Hinton,0.7999935728698179,"(0.7017017017017017, 0.8978978978978979)",5
8,Jordan Ford,0.6669999999956459,"(0.5685685685685685, 0.7647647647647647)",3
9,Ryan Rollins,0.6669999999956459,"(0.5685685685685685, 0.7647647647647647)",3
10,Mo Bamba,0.6149999999999975,"(0.5165165165165165, 0.7127127127127127)",13
11,Orlando Robinson,0.583,"(0.4854854854854855, 0.6806806806806807)",12
12,James Bouknight,0.5450000000000002,"(0.44744744744744747, 0.6426426426426426)",11
13,Jalen Smith,0.533,"(0.43543543543543545, 0.6306306306306306)",45
14,Stanley Umude,0.519,"(0.4214214214214214, 0.6166166166166166)",27
15,Jae Crowder,0.516,"(0.4184184184184184, 0.6136136136136137)",31
16,Dereon Seabron,0.5,"(0.4024024024024024, 0.5975975975975976)",2
17,Dwight Powell,0.5,"(0.4024024024024024, 0.5975975975975976)",2
18,Dylan Windler,0.5,"(0.4024024024024024, 0.5975975975975976)",2
19,Isaiah Mobley,0.5,"(0.4024024024024024, 0.5975975975975976)",2
20,Ish Smith,0.4999999999999999,"(0.4024024024024024, 0.5975975975975976)",4
21,Jordan McLaughlin,0.4999999999999999,"(0.4024024024024024, 0.5975975975975976)",6
22,Justin Minaya,0.4999999999999999,"(0.4024024024024024, 0.5975975975975976)",4
23,Keon Johnson,0.4999999999999999,"(0.4024024024024024, 0.5975975975975976)",4
24,Leaky Black,0.5,"(0.4024024024024024, 0.5975975975975976)",2
25,Nikola Jovic,0.4999999999999999,"(0.4024024024024024, 0.5975975975975976)",12
26,Patty Mills,0.49999999999999994,"(0.4024024024024024, 0.5975975975975976)",10
27,Robin Lopez,0.4999999999999999,"(0.4024024024024024, 0.5975975975975976)",4
28,TyTy Washington Jr.,0.5,"(0.4024024024024024, 0.5975975975975976)",2
29,Nick Smith Jr.,0.48899999999999993,"(0.3913913913913914, 0.5865865865865866)",47
